Format,2.0A,
Memory Length,5000,
Trigger Level,0.00V,
Source,CH1,
Label, ,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,-5.000E-01,
Horizontal Units,S,
Horizontal Scale,1.000E+00,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Sampling Period,2.000E-03,
Firmware,V1.18,
Time,29-Jun-15 15:03:31,
Mode,Detail,
Waveform Data,
-4.102000e+00,8.00e-01,
-4.100000e+00,8.40e-01,
-4.098000e+00,7.80e-01,
-4.096000e+00,8.20e-01,
-4.094000e+00,7.60e-01,
-4.092000e+00,7.80e-01,
-4.090000e+00,7.20e-01,
-4.088000e+00,7.40e-01,
-4.086000e+00,7.20e-01,
-4.084000e+00,7.00e-01,
-4.082000e+00,7.60e-01,
-4.080000e+00,7.20e-01,
-4.078000e+00,7.80e-01,
-4.076000e+00,7.60e-01,
-4.074000e+00,8.20e-01,
-4.072000e+00,8.20e-01,
-4.070000e+00,7.80e-01,
-4.068000e+00,8.20e-01,
-4.066000e+00,7.80e-01,
-4.064000e+00,7.80e-01,
-4.062000e+00,8.40e-01,
-4.060000e+00,8.00e-01,
-4.058000e+00,8.60e-01,
-4.056000e+00,8.80e-01,
-4.054000e+00,8.40e-01,
-4.052000e+00,9.00e-01,
-4.050000e+00,8.60e-01,
-4.048000e+00,9.00e-01,
-4.046000e+00,8.60e-01,
-4.044000e+00,8.60e-01,
-4.042000e+00,9.20e-01,
-4.040000e+00,9.40e-01,
-4.038000e+00,9.00e-01,
-4.036000e+00,9.60e-01,
-4.034000e+00,9.20e-01,
-4.032000e+00,9.60e-01,
-4.030000e+00,9.20e-01,
-4.028000e+00,9.60e-01,
-4.026000e+00,9.20e-01,
-4.024000e+00,9.60e-01,
-4.022000e+00,9.00e-01,
-4.020000e+00,9.20e-01,
-4.018000e+00,9.80e-01,
-4.016000e+00,1.00e+00,
-4.014000e+00,9.60e-01,
-4.012000e+00,1.00e+00,
-4.010000e+00,9.60e-01,
-4.008000e+00,9.80e-01,
-4.006000e+00,9.20e-01,
-4.004000e+00,9.40e-01,
-4.002000e+00,1.00e+00,
-4.000000e+00,9.60e-01,
-3.998000e+00,1.02e+00,
-3.996000e+00,1.04e+00,
-3.994000e+00,1.00e+00,
-3.992000e+00,1.02e+00,
-3.990000e+00,9.80e-01,
-3.988000e+00,1.02e+00,
-3.986000e+00,9.60e-01,
-3.984000e+00,9.60e-01,
-3.982000e+00,1.02e+00,
-3.980000e+00,1.02e+00,
-3.978000e+00,9.80e-01,
-3.976000e+00,1.04e+00,
-3.974000e+00,1.00e+00,
-3.972000e+00,1.04e+00,
-3.970000e+00,1.00e+00,
-3.968000e+00,1.04e+00,
-3.966000e+00,1.00e+00,
-3.964000e+00,1.04e+00,
-3.962000e+00,1.00e+00,
-3.960000e+00,1.00e+00,
-3.958000e+00,1.08e+00,
-3.956000e+00,1.04e+00,
-3.954000e+00,1.10e+00,
-3.952000e+00,1.10e+00,
-3.950000e+00,1.06e+00,
-3.948000e+00,1.08e+00,
-3.946000e+00,1.06e+00,
-3.944000e+00,1.10e+00,
-3.942000e+00,1.06e+00,
-3.940000e+00,1.12e+00,
-3.938000e+00,1.08e+00,
-3.936000e+00,1.08e+00,
-3.934000e+00,1.14e+00,
-3.932000e+00,1.14e+00,
-3.930000e+00,1.08e+00,
-3.928000e+00,1.12e+00,
-3.926000e+00,1.08e+00,
-3.924000e+00,1.08e+00,
-3.922000e+00,1.14e+00,
-3.920000e+00,1.10e+00,
-3.918000e+00,1.16e+00,
-3.916000e+00,1.12e+00,
-3.914000e+00,1.18e+00,
-3.912000e+00,1.16e+00,
-3.910000e+00,1.10e+00,
-3.908000e+00,1.14e+00,
-3.906000e+00,1.08e+00,
-3.904000e+00,1.12e+00,
-3.902000e+00,1.08e+00,
-3.900000e+00,1.12e+00,
-3.898000e+00,1.08e+00,
-3.896000e+00,1.12e+00,
-3.894000e+00,1.06e+00,
-3.892000e+00,1.10e+00,
-3.890000e+00,1.02e+00,
-3.888000e+00,1.04e+00,
-3.886000e+00,9.80e-01,
-3.884000e+00,1.02e+00,
-3.882000e+00,9.60e-01,
-3.880000e+00,1.00e+00,
-3.878000e+00,9.60e-01,
-3.876000e+00,1.00e+00,
-3.874000e+00,9.60e-01,
-3.872000e+00,9.80e-01,
-3.870000e+00,9.00e-01,
-3.868000e+00,9.40e-01,
-3.866000e+00,8.80e-01,
-3.864000e+00,9.00e-01,
-3.862000e+00,8.60e-01,
-3.860000e+00,9.00e-01,
-3.858000e+00,8.60e-01,
-3.856000e+00,9.00e-01,
-3.854000e+00,8.60e-01,
-3.852000e+00,8.80e-01,
-3.850000e+00,8.20e-01,
-3.848000e+00,8.40e-01,
-3.846000e+00,8.00e-01,
-3.844000e+00,8.40e-01,
-3.842000e+00,8.00e-01,
-3.840000e+00,8.00e-01,
-3.838000e+00,8.80e-01,
-3.836000e+00,8.40e-01,
-3.834000e+00,9.00e-01,
-3.832000e+00,8.80e-01,
-3.830000e+00,8.40e-01,
-3.828000e+00,8.80e-01,
-3.826000e+00,8.40e-01,
-3.824000e+00,8.80e-01,
-3.822000e+00,8.40e-01,
-3.820000e+00,9.00e-01,
-3.818000e+00,8.40e-01,
-3.816000e+00,9.20e-01,
-3.814000e+00,8.80e-01,
-3.812000e+00,9.20e-01,
-3.810000e+00,8.80e-01,
-3.808000e+00,9.00e-01,
-3.806000e+00,8.60e-01,
-3.804000e+00,8.60e-01,
-3.802000e+00,9.40e-01,
-3.800000e+00,9.00e-01,
-3.798000e+00,9.60e-01,
-3.796000e+00,9.20e-01,
-3.794000e+00,9.80e-01,
-3.792000e+00,9.80e-01,
-3.790000e+00,9.40e-01,
-3.788000e+00,9.60e-01,
-3.786000e+00,9.20e-01,
-3.784000e+00,9.80e-01,
-3.782000e+00,9.20e-01,
-3.780000e+00,9.80e-01,
-3.778000e+00,9.40e-01,
-3.776000e+00,1.00e+00,
-3.774000e+00,9.60e-01,
-3.772000e+00,9.80e-01,
-3.770000e+00,9.40e-01,
-3.768000e+00,9.80e-01,
-3.766000e+00,9.20e-01,
-3.764000e+00,9.60e-01,
-3.762000e+00,9.00e-01,
-3.760000e+00,9.20e-01,
-3.758000e+00,9.80e-01,
